Starting DroneDriver
ToggleCam 0
vel_y, Err, 1.000000, P, 0.001250, I, 0.000000, D, 0.000000, PID, 0.001250
vel_x, Err, 11.000000, P, 0.011000, I, 0.000000, D, -0.004000, PID, 0.007000
vel_y, Err, -6.000000, P, -0.007500, I, 0.000000, D, -0.008750, PID, -0.016250
vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, -0.001000, PID, 0.009000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, -0.003750, PID, -0.015000
vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, -0.001000, PID, 0.008000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, -0.004000, PID, 0.001000
vel_y, Err, -10.000000, P, -0.012500, I, 0.000000, D, -0.001250, PID, -0.013750
vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.001000, PID, 0.003000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.001250, PID, -0.010000
vel_x, Err, 3.000000, P, 0.003000, I, 0.000000, D, -0.001000, PID, 0.002000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -2.000000, P, -0.002000, I, 0.000000, D, -0.005000, PID, -0.007000
vel_y, Err, -8.000000, P, -0.010000, I, 0.000000, D, 0.001250, PID, -0.008750
vel_x, Err, -10.000000, P, -0.010000, I, 0.000000, D, -0.008000, PID, -0.018000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, -0.001250, PID, -0.012500
vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, -0.002000, PID, -0.014000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -0.007000, PID, -0.026000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, -0.002000, PID, -0.023000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -28.000000, P, -0.028000, I, 0.000000, D, -0.007000, PID, -0.035000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -33.000000, P, -0.033000, I, 0.000000, D, -0.005000, PID, -0.038000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -36.000000, P, -0.036000, I, 0.000000, D, -0.003000, PID, -0.039000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -40.000000, P, -0.040000, I, 0.000000, D, -0.004000, PID, -0.044000
vel_y, Err, -9.000000, P, -0.011250, I, 0.000000, D, 0.000000, PID, -0.011250
vel_x, Err, -42.000000, P, -0.042000, I, 0.000000, D, -0.002000, PID, -0.044000
vel_y, Err, -8.000000, P, -0.010000, I, 0.000000, D, 0.001250, PID, -0.008750
vel_x, Err, -44.000000, P, -0.044000, I, 0.000000, D, -0.002000, PID, -0.046000
vel_y, Err, -8.000000, P, -0.010000, I, 0.000000, D, 0.000000, PID, -0.010000
vel_x, Err, -46.000000, P, -0.046000, I, 0.000000, D, -0.002000, PID, -0.048000
vel_y, Err, -8.000000, P, -0.010000, I, 0.000000, D, 0.000000, PID, -0.010000
vel_x, Err, -55.000000, P, -0.055000, I, 0.000000, D, -0.009000, PID, -0.064000
vel_y, Err, -8.000000, P, -0.010000, I, 0.000000, D, 0.000000, PID, -0.010000
vel_x, Err, -60.000000, P, -0.060000, I, 0.000000, D, -0.005000, PID, -0.065000
vel_y, Err, -6.000000, P, -0.007500, I, 0.000000, D, 0.002500, PID, -0.005000
vel_x, Err, -60.000000, P, -0.060000, I, 0.000000, D, 0.000000, PID, -0.060000
vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, -60.000000, P, -0.060000, I, 0.000000, D, 0.000000, PID, -0.060000
vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, -60.000000, P, -0.060000, I, 0.000000, D, 0.000000, PID, -0.060000
vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
vel_y, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, -47.000000, P, -0.047000, I, 0.000000, D, 0.006000, PID, -0.041000
vel_y, Err, 8.000000, P, 0.010000, I, 0.000000, D, 0.010000, PID, 0.020000
vel_x, Err, -41.000000, P, -0.041000, I, 0.000000, D, 0.006000, PID, -0.035000
